,Mood,original_title,id,release_year,genre,overview,runtime,vote_average,budget,revenue
0,Inspired,I Am Legend,6479,2007,"Drama,Horror,Action,Thriller,Science Fiction","Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",101,6.9,150000000,585349010
1,Thrilled,Straight Outta Compton,277216,2015,"Drama,Music","In 1987, five young men, using brutally honest rhymes and hardcore beats, put their frustration and anger about life in the most dangerous place in America into the most powerful weapon they had: their music.  Taking us back to where it all began, Straight Outta Compton tells the true story of how these cultural rebels—armed only with their lyrics, swagger, bravado and raw talent—stood up to the authorities that meant to keep them down and formed the world’s most dangerous group, N.W.A.  And as they spoke the truth that no one had before and exposed life in the hood, their voice ignited a social revolution that is still reverberating today.",147,7.7,28000000,201634991
2,Happy,2 Fast 2 Furious,584,2003,"Action,Crime,Thriller","It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.",107,6.2,76000000,236350661
3,Happy,Love Actually,508,2003,"Comedy,Romance,Drama",Follows seemingly unrelated people as their lives begin to intertwine while they fall in – and out – of love. Affections languish and develop as Christmas draws near.,135,7,40000000,244931766
4,Happy,Love Actually,508,2003,"Comedy,Romance,Drama",Follows seemingly unrelated people as their lives begin to intertwine while they fall in – and out – of love. Affections languish and develop as Christmas draws near.,135,7,40000000,244931766
5,Romantic,Love Actually,508,2003,"Comedy,Romance,Drama",Follows seemingly unrelated people as their lives begin to intertwine while they fall in – and out – of love. Affections languish and develop as Christmas draws near.,135,7,40000000,244931766
6,Sad,Love Actually,508,2003,"Comedy,Romance,Drama",Follows seemingly unrelated people as their lives begin to intertwine while they fall in – and out – of love. Affections languish and develop as Christmas draws near.,135,7,40000000,244931766
7,Happy,Love Actually,508,2003,"Comedy,Romance,Drama",Follows seemingly unrelated people as their lives begin to intertwine while they fall in – and out – of love. Affections languish and develop as Christmas draws near.,135,7,40000000,244931766
8,Romantic,Love Actually,508,2003,"Comedy,Romance,Drama",Follows seemingly unrelated people as their lives begin to intertwine while they fall in – and out – of love. Affections languish and develop as Christmas draws near.,135,7,40000000,244931766
9,Inspired,Pitch Perfect,114150,2012,"Comedy,Music,Romance","College student Beca knows she does not want to be part of a clique, but that's exactly where she finds herself after arriving at her new school. Thrust in among mean gals, nice gals and just plain weird gals, Beca finds that the only thing they have in common is how well they sing together. She takes the women of the group out of their comfort zone of traditional arrangements and into a world of amazing harmonic combinations in a fight to the top of college music competitions.",112,7.3,17000000,115350426
10,Happy,Back to the Future,105,1985,"Adventure,Comedy,Science Fiction,Family","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",116,8,19000000,381109762
11,Happy,Forrest Gump,13,1994,"Comedy,Drama,Romance","A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",142,8.2,55000000,677945399
12,Sad,Forrest Gump,13,1994,"Comedy,Drama,Romance","A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",142,8.2,55000000,677945399
13,Happy,Forrest Gump,13,1994,"Comedy,Drama,Romance","A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",142,8.2,55000000,677945399
14,Inspired,The Dark Knight,155,2008,"Drama,Action,Crime,Thriller","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",152,8.2,185000000,1004558444
15,Inspired,The Dark Knight,155,2008,"Drama,Action,Crime,Thriller","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",152,8.2,185000000,1004558444
16,Angry,The Dark Knight,155,2008,"Drama,Action,Crime,Thriller","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",152,8.2,185000000,1004558444
17,Happy,The Notebook,11036,2004,"Romance,Drama","An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",123,7.7,29000000,115603229
18,Romantic,The Notebook,11036,2004,"Romance,Drama","An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",123,7.7,29000000,115603229
19,Sad,The Notebook,11036,2004,"Romance,Drama","An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",123,7.7,29000000,115603229
20,Sad,The Notebook,11036,2004,"Romance,Drama","An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",123,7.7,29000000,115603229
